ign,team_name,game_id,sub,role,champion,kills,deaths,assists,cs,dmg,gold,exp,cs/min,dmg/min,gold/min,exp/min,cs_diff,dmg_diff,gold_diff,exp_diff,kp,fb,vision,plates,solo_kills,gold_perc,dmg_perc
Deep Croissant 2,Weaver's Wall,4789699546,True,SUPPORT,Braum,0,1,12,39,5079,6548,8091,1.68,219.08,282.44,349.0,24,-4096,1381,2682,0.55,False,2.46,1,0,13.68,9.61
Kermalicious,Coinflip Conundrum,4789699546,True,TOP,TahmKench,0,5,0,124,2480,5980,9093,5.35,106.97,257.94,392.22,-33,-8752,-3936,-2489,0.0,False,0.26,0,0,17.59,6.13
MoonNickZ,Coinflip Conundrum,4789699546,False,JUNGLE,Briar,3,5,1,136,6295,8160,8101,5.87,271.53,351.98,349.43,14,-8532,-2674,-1999,0.67,False,0.35,0,0,24.01,15.56
Bixzy,Coinflip Conundrum,4789699546,False,MIDDLE,Lissandra,2,4,4,152,13323,7879,9666,6.56,574.68,339.86,416.94,-27,3329,-2405,-4673,1.0,False,1.12,1,0,23.18,32.93
Neurons,Coinflip Conundrum,4789699546,False,BOTTOM,Ezreal,1,2,2,143,9183,6805,8273,6.17,396.1,293.53,356.85,-2,-2559,-3489,-1538,0.5,False,0.6,0,0,20.02,22.7
conjax pineapple,Coinflip Conundrum,4789699546,False,SUPPORT,Zyra,0,6,5,15,9175,5167,5409,0.65,395.76,222.88,233.31,-24,4096,-1381,-2682,0.83,False,2.37,0,0,15.2,22.68
Tank2020,RRRR,4790450710,False,TOP,Aatrox,1,5,2,176,8626,8310,10638,7.21,353.28,340.34,435.69,34,-1129,-2079,-1865,0.33,False,0.61,3,1,21.04,17.91
SanicSpeedzx,RRRR,4790450710,False,JUNGLE,Taliyah,1,5,3,168,12197,8390,9969,6.88,499.54,343.62,408.29,31,2222,-835,-954,0.44,False,0.82,2,0,21.24,25.33
Godrick,RRRR,4790450710,False,MIDDLE,Swain,2,3,4,193,12740,8666,12973,7.9,521.77,354.92,531.32,29,810,-132,727,0.67,False,0.57,2,2,21.94,26.46
bables,RRRR,4790450710,True,BOTTOM,Ezreal,5,5,1,154,13618,9957,8677,6.31,557.73,407.8,355.37,-64,-17600,-4696,-3445,0.67,False,0.37,0,0,25.21,28.28
Rhaastakhan,RRRR,4790450710,False,SUPPORT,Lulu,0,8,2,4,971,4176,6393,0.16,39.77,171.03,261.83,-1,-5723,-3834,-3418,0.22,False,0.7,0,0,10.57,2.02
SANTIx9,Yuumi or Bust,4790450710,True,TOP,Olaf,5,1,5,142,9755,10389,12503,5.82,399.52,425.49,512.07,-34,1129,2079,1865,0.38,False,0.57,3,1,20.34,14.02
WsPhoenix411,Yuumi or Bust,4790450710,False,JUNGLE,Amumu,4,3,9,137,9975,9225,10923,5.61,408.53,377.82,447.36,-31,-2222,835,954,0.5,False,0.57,1,0,18.06,14.34
Dubbya Tea Eff,Yuumi or Bust,4790450710,False,MIDDLE,Viktor,1,3,7,164,11930,8798,12246,6.72,488.6,360.33,501.54,-29,-810,132,-727,0.31,False,0.98,0,0,17.23,17.15
Dweebble,Yuumi or Bust,4790450710,False,BOTTOM,Ashe,16,2,6,218,31218,14653,12122,8.93,1278.55,600.12,496.46,64,17600,4696,3445,0.85,True,0.49,6,0,28.69,44.87
Qwerky,Yuumi or Bust,4790450710,False,SUPPORT,Sona,0,1,21,5,6694,8010,9811,0.2,274.16,328.05,401.82,1,5723,3834,3418,0.81,False,1.6,6,0,15.68,9.62
Rhaastakhan,RRRR,4790512007,False,TOP,Ornn,3,2,8,198,16331,12138,18911,5.67,467.27,347.3,541.09,28,-16848,494,4194,0.35,False,0.29,0,2,17.78,17.34
SanicSpeedzx,RRRR,4790512007,False,JUNGLE,JarvanIV,6,3,22,252,18544,15416,20361,7.21,530.59,441.09,582.58,80,4324,3982,7827,0.9,False,0.6,0,2,22.58,19.69
Godrick,RRRR,4790512007,False,MIDDLE,Swain,5,1,16,196,28433,12079,16870,5.61,813.53,345.61,482.69,-40,6142,810,494,0.68,False,0.63,0,0,17.69,30.19
Tank2020,RRRR,4790512007,False,BOTTOM,Samira,15,4,3,298,23638,19362,16951,8.53,676.34,553.99,485.01,35,-3378,5664,4137,0.58,False,0.66,1,0,28.36,25.1
bables,RRRR,4790512007,True,SUPPORT,Nautilus,2,5,15,40,7242,9288,12251,1.14,207.21,265.75,350.53,26,-1042,1911,1203,0.55,False,2.17,1,1,13.6,7.69
SANTIx9,Yuumi or Bust,4790512007,True,TOP,Gwen,3,8,5,170,33179,11644,14717,4.86,949.33,333.16,421.09,-28,16848,-494,-4194,0.53,False,0.54,3,1,21.01,31.6
WsPhoenix411,Yuumi or Bust,4790512007,False,JUNGLE,Poppy,3,6,7,172,14220,11434,12534,4.92,406.87,327.15,358.63,-80,-4324,-3982,-7827,0.67,False,0.6,0,0,20.63,13.54
Dubbya Tea Eff,Yuumi or Bust,4790512007,False,MIDDLE,Neeko,3,2,5,236,22291,11269,16376,6.75,637.8,322.43,468.56,40,-6142,-810,-494,0.53,False,1.03,0,0,20.33,21.23
Dweebble,Yuumi or Bust,4790512007,False,BOTTOM,Ashe,6,7,5,263,27016,13698,12814,7.53,772.99,391.93,366.64,-35,3378,-5664,-4137,0.73,True,0.49,1,0,24.72,25.73
Qwerky,Yuumi or Bust,4790512007,False,SUPPORT,Sona,0,9,12,14,8284,7377,11048,0.4,237.02,211.07,316.11,-26,1042,-1911,-1203,0.8,False,2.03,0,0,13.31,7.89
thedynamict,RRRR,4790563636,True,TOP,Yone,5,1,6,224,17689,11849,15789,8.33,657.99,440.76,587.32,92,11343,5209,3982,0.35,False,0.48,1,2,21.44,20.62
WsPhoenix411,RRRR,4790563636,True,JUNGLE,JarvanIV,5,2,15,133,12037,10657,11513,4.95,447.75,396.42,428.26,-32,-149,1648,1492,0.65,False,0.56,0,0,19.28,14.03
Dubbya Tea Eff,RRRR,4790563636,True,MIDDLE,Viktor,4,0,5,189,15131,11438,14666,7.03,562.84,425.47,545.54,-5,-799,1376,2308,0.29,False,0.67,0,1,20.7,17.63
Dweebble,RRRR,4790563636,True,BOTTOM,Ezreal,16,4,6,180,36498,14222,12027,6.7,1357.64,529.03,447.38,1,15878,2967,1877,0.71,False,0.45,1,3,25.73,42.54
